Entity,Code,Year,Energy_Use
Argentina,ARG,1990,34.989185
Argentina,ARG,1991,29.710293
Argentina,ARG,1992,34.389725
Argentina,ARG,1993,38.57245
Argentina,ARG,1994,41.73245
Argentina,ARG,1995,39.635246
Argentina,ARG,1996,32.54642
Argentina,ARG,1997,38.803555
Argentina,ARG,1998,36.01876
Argentina,ARG,1999,26.86689
Argentina,ARG,2000,32.59159
Argentina,ARG,2001,41.036167
Argentina,ARG,2002,43.00745
Argentina,ARG,2003,37.75388
Argentina,ARG,2004,31.318571
Argentina,ARG,2005,33.29551
Argentina,ARG,2006,34.505863
Argentina,ARG,2007,28.497179
Argentina,ARG,2008,26.617996
Argentina,ARG,2009,29.308369
Argentina,ARG,2010,27.595238
Argentina,ARG,2011,25.18341
Argentina,ARG,2012,22.783413
Argentina,ARG,2013,24.933668
Argentina,ARG,2014,24.931429
Argentina,ARG,2015,23.676249
Argentina,ARG,2016,21.39557
Argentina,ARG,2017,23.13028
Argentina,ARG,2018,23.995094
Argentina,ARG,2019,24.926538
Argentina,ARG,2020,25.318031
Argentina,ARG,2021,24.18544
Argentina,ARG,2022,28.727707
Argentina,ARG,2023,34.699863
Bolivia,BOL,2000,51.54639
Bolivia,BOL,2001,54.54546
Bolivia,BOL,2002,53.60577
Bolivia,BOL,2003,46.65127
Bolivia,BOL,2004,48.344368
Bolivia,BOL,2005,40.899796
Bolivia,BOL,2006,43.6
Bolivia,BOL,2007,43.198524
Bolivia,BOL,2008,39.695942
Bolivia,BOL,2009,37.842186
Bolivia,BOL,2010,33.68421
Bolivia,BOL,2011,33.99154
Bolivia,BOL,2012,32.52362
Bolivia,BOL,2013,33.80282
Bolivia,BOL,2014,28.6747
Bolivia,BOL,2015,29.444445
Bolivia,BOL,2016,20.752687
Bolivia,BOL,2017,25.130344
Bolivia,BOL,2018,30.152283
Bolivia,BOL,2019,36.873158
Bolivia,BOL,2020,35.843372
Bolivia,BOL,2021,37.523453
Bolivia,BOL,2022,35.013035
Bolivia,BOL,2023,28.806585
Brasil,BRA,1990,94.50092
Brasil,BRA,1991,94.626305
Brasil,BRA,1992,94.4203
Brasil,BRA,1993,95.256325
Brasil,BRA,1994,95.4056
Brasil,BRA,1995,94.15729
Brasil,BRA,1996,93.56042
Brasil,BRA,1997,92.97835
Brasil,BRA,1998,92.92329
Brasil,BRA,1999,90.03718
Brasil,BRA,2000,89.49073
Brasil,BRA,2001,84.28854
Brasil,BRA,2002,85.739914
Brasil,BRA,2003,87.16485
Brasil,BRA,2004,86.035774
Brasil,BRA,2005,87.128784
Brasil,BRA,2006,86.75408
Brasil,BRA,2007,88.22644
Brasil,BRA,2008,84.31496
Brasil,BRA,2009,89.04691
Brasil,BRA,2010,84.80225
Brasil,BRA,2011,87.19347
Brasil,BRA,2012,82.5629
Brasil,BRA,2013,76.824974
Brasil,BRA,2014,73.279144
Brasil,BRA,2015,74.2077
Brasil,BRA,2016,80.46779
Brasil,BRA,2017,79.24727
Brasil,BRA,2018,82.35754
Brasil,BRA,2019,81.38569
Brasil,BRA,2020,83.16687
Brasil,BRA,2021,77.36203
Brasil,BRA,2022,87.3695
Brasil,BRA,2023,88.68169
Chile,CHL,1990,53.834267
Chile,CHL,1991,70.97458
Chile,CHL,1992,82.69866
Chile,CHL,1993,78.987724
Chile,CHL,1994,74.26599
Chile,CHL,1995,72.40424
Chile,CHL,1996,60.44451
Chile,CHL,1997,62.13549
Chile,CHL,1998,48.170887
Chile,CHL,1999,39.149124
Chile,CHL,2000,47.506424
Chile,CHL,2001,51.772526
Chile,CHL,2002,53.10361
Chile,CHL,2003,48.38281
Chile,CHL,2004,42.88944
Chile,CHL,2005,50.217308
Chile,CHL,2006,52.324062
Chile,CHL,2007,39.81779
Chile,CHL,2008,42.185562
Chile,CHL,2009,43.340977
Chile,CHL,2010,36.98936
Chile,CHL,2011,33.913605
Chile,CHL,2012,31.310825
Chile,CHL,2013,29.587795
Chile,CHL,2014,36.368835
Chile,CHL,2015,38.16028
Chile,CHL,2016,33.083424
Chile,CHL,2017,39.504177
Chile,CHL,2018,42.859005
Chile,CHL,2019,41.64621
Chile,CHL,2020,43.807076
Chile,CHL,2021,42.706417
Chile,CHL,2022,52.95602
Chile,CHL,2023,60.818085
Colombia,COL,1990,72.60907
Colombia,COL,1991,69.772255
Colombia,COL,1992,61.782764
Colombia,COL,1993,67.74923
Colombia,COL,1994,72.18858
Colombia,COL,1995,68.374115
Colombia,COL,1996,73.97725
Colombia,COL,1997,64.037476
Colombia,COL,1998,62.274715
Colombia,COL,1999,71.49735
Colombia,COL,2000,75.35622
Colombia,COL,2001,74.153915
Colombia,COL,2002,76.336395
Colombia,COL,2003,78.614716
Colombia,COL,2004,81.51226
Colombia,COL,2005,80.01602
Colombia,COL,2006,80.4462
Colombia,COL,2007,81.38346
Colombia,COL,2008,83.886086
Colombia,COL,2009,72.687225
Colombia,COL,2010,70.51303
Colombia,COL,2011,81.750404
Colombia,COL,2012,77.894066
Colombia,COL,2013,69.21507
Colombia,COL,2014,69.088844
Colombia,COL,2015,63.344875
Colombia,COL,2016,65.61639
Colombia,COL,2017,79.10029
Colombia,COL,2018,76.332954
Colombia,COL,2019,69.48464
Colombia,COL,2020,65.11539
Colombia,COL,2021,75.01777
Colombia,COL,2022,71.93991
Colombia,COL,2023,66.48605
Ecuador,ECU,1990,78.544685
Ecuador,ECU,1991,72.77874
Ecuador,ECU,1992,69.11565
Ecuador,ECU,1993,78.39561
Ecuador,ECU,1994,80.61493
Ecuador,ECU,1995,61.226696
Ecuador,ECU,1996,65.53657
Ecuador,ECU,1997,63.06056
Ecuador,ECU,1998,59.74183
Ecuador,ECU,1999,69.62207
Ecuador,ECU,2000,71.50997
Ecuador,ECU,2001,63.75228
Ecuador,ECU,2002,63.08213
Ecuador,ECU,2003,61.9338
Ecuador,ECU,2004,57.34375
Ecuador,ECU,2005,54.03481
Ecuador,ECU,2006,50.284092
Ecuador,ECU,2007,52.0
Ecuador,ECU,2008,60.573284
Ecuador,ECU,2009,50.38546
Ecuador,ECU,2010,44.129765
Ecuador,ECU,2011,53.98923
Ecuador,ECU,2012,53.40959
Ecuador,ECU,2013,47.625217
Ecuador,ECU,2014,47.540306
Ecuador,ECU,2015,51.103367
Ecuador,ECU,2016,59.977913
Ecuador,ECU,2017,73.517784
Ecuador,ECU,2018,72.38292
Ecuador,ECU,2019,78.118225
Ecuador,ECU,2020,79.64206
Ecuador,ECU,2021,81.19552
Ecuador,ECU,2022,80.94946
Ecuador,ECU,2023,80.83458
Guyana,GUY,2000,1.1111112
Guyana,GUY,2001,1.0869565
Guyana,GUY,2002,1.0869565
Guyana,GUY,2003,1.2195122
Guyana,GUY,2004,1.1627907
Guyana,GUY,2005,1.5384616
Guyana,GUY,2006,1.5151515
Guyana,GUY,2007,1.4285715
Guyana,GUY,2008,1.4084507
Guyana,GUY,2009,1.2048193
